cve_mun,ano,n_encuestados,prop_inseguro,n_valido_percepcion,prop_espera_empeorar,n_valido_expectativa,prop_atestiguo_alguno,indice_atestiguo,n_valido_atestiguo,prop_cambio_habito,indice_habito,n_valido_habito
28038,2020,334,0.4041916167664671,334,0.12349397590361445,332,0.4041916167664671,0.9461077844311375,334,0.5,1.4176829268292683,328
29001,2014,12,0.3333333333333333,12,0.4166666666666667,12,0.75,2.1666666666666665,12,0.75,1.5,12
29001,2015,8,0.125,8,0.25,8,0.625,1.125,8,0.625,1.625,8
29001,2016,54,0.4444444444444444,54,0.3,50,0.7962962962962963,2.0370370370370368,54,0.5925925925925926,1.1111111111111112,54
29001,2017,51,0.43137254901960786,51,0.32,50,0.9411764705882353,2.7058823529411766,51,0.5490196078431373,1.176470588235294,51
29001,2018,29,0.4827586206896552,29,0.32142857142857145,28,0.8275862068965517,2.689655172413793,29,0.7241379310344828,2.0689655172413794,29
29001,2019,5,0.6,5,0.2,5,0.8,1.8,5,0.8,2.2,5
29002,2018,29,0.5517241379310345,29,0.2413793103448276,29,0.6551724137931034,1.4827586206896552,29,0.6206896551724138,1.4482758620689655,29
29002,2019,37,0.5945945945945946,37,0.32432432432432434,37,0.7837837837837838,2.5405405405405403,37,0.6216216216216216,1.6216216216216217,37
29002,2020,30,0.4482758620689655,29,0.27586206896551724,29,0.7666666666666667,2.3,30,0.7,1.6666666666666667,30
29005,2013,12,0.5,12,0.5,12,0.6666666666666666,2.4166666666666665,12,0.75,1.5833333333333333,12
29005,2014,21,0.7619047619047619,21,0.5238095238095238,21,0.8571428571428571,3.238095238095238,21,0.8571428571428571,2.5238095238095237,21
29005,2015,14,0.7142857142857143,14,0.5714285714285714,14,1,2.357142857142857,14,0.8571428571428571,2.7857142857142856,14
29005,2016,113,0.6637168141592921,113,0.34513274336283184,113,0.8849557522123894,2.601769911504425,113,0.7345132743362832,1.7345132743362832,113
29005,2017,99,0.5757575757575758,99,0.2828282828282828,99,0.7777777777777778,2.5656565656565657,99,0.6767676767676768,1.8181818181818181,99
29005,2018,71,0.7746478873239436,71,0.352112676056338,71,0.9154929577464789,3.2253521126760565,71,0.971830985915493,2.685714285714286,70
29005,2019,70,0.8428571428571429,70,0.4090909090909091,66,0.9571428571428572,3.9857142857142858,70,0.8285714285714286,2.4571428571428573,70
29005,2020,49,0.673469387755102,49,0.5416666666666666,48,0.7142857142857143,2.4081632653061225,49,0.6530612244897959,1.5625,48
29010,2014,18,0.6111111111111112,18,0.3333333333333333,18,1,3,18,0.9444444444444444,2.111111111111111,18
29010,2015,13,0.8461538461538461,13,0.23076923076923078,13,0.9230769230769231,2.8461538461538463,13,0.9230769230769231,2.6153846153846154,13
29010,2016,128,0.5952380952380952,126,0.33064516129032256,124,0.8984375,3.1811023622047245,127,0.6875,1.546875,128
29010,2017,122,0.6134453781512605,119,0.31932773109243695,119,0.9426229508196722,2.9344262295081966,122,0.680327868852459,1.680327868852459,122
29010,2018,100,0.7171717171717171,99,0.26262626262626265,99,0.97,3.25,100,0.7,1.9300000000000002,100
29010,2019,63,0.746031746031746,63,0.4032258064516129,62,0.9682539682539683,3.2698412698412698,63,0.7301587301587301,1.9682539682539681,63
