"NAME_1","NAME_2","year","ndvi_mean"
"Campeche","Hecelchakán",2019,0.715790688991547
"Campeche","Hecelchakán",2020,0.683042049407959
"Campeche","Hopelchén",2010,0.744783043861389
"Campeche","Hopelchén",2011,0.735396265983582
"Campeche","Hopelchén",2013,0.721869826316833
"Campeche","Hopelchén",2014,0.760648012161255
"Campeche","Hopelchén",2015,0.713356792926788
"Campeche","Hopelchén",2016,0.750167369842529
"Campeche","Hopelchén",2017,0.697531521320343
"Campeche","Hopelchén",2018,0.737500369548798
"Campeche","Hopelchén",2019,0.721971154212952
"Campeche","Hopelchén",2020,0.718631863594055
"Campeche","Palizada",2010,0.709343075752258
"Campeche","Palizada",2011,0.710729002952576
"Campeche","Palizada",2013,0.706632316112518
"Campeche","Palizada",2014,0.689037680625916
"Campeche","Palizada",2015,0.690320014953613
"Campeche","Palizada",2016,0.705896496772766
"Campeche","Palizada",2017,0.713599801063538
"Campeche","Palizada",2018,0.720699191093445
"Campeche","Palizada",2019,0.7227903008461
"Campeche","Palizada",2020,0.734655320644379
"Campeche","Tenabo",2010,0.711412012577057
"Campeche","Tenabo",2011,0.686006247997284
"Campeche","Tenabo",2013,0.701638162136078
"Campeche","Tenabo",2014,0.73088926076889
"Campeche","Tenabo",2015,0.715380191802979
"Campeche","Tenabo",2016,0.734456419944763
"Campeche","Tenabo",2017,0.695217370986938
"Campeche","Tenabo",2018,0.741492450237274
"Campeche","Tenabo",2019,0.724598288536072
"Campeche","Tenabo",2020,0.698885023593903
"Chiapas","Acacoyagua",2010,0.777317047119141
"Chiapas","Acacoyagua",2011,0.785483598709106
"Chiapas","Acacoyagua",2013,0.776271522045135
"Chiapas","Acacoyagua",2014,0.810381948947906
"Chiapas","Acacoyagua",2015,0.817788541316986
"Chiapas","Acacoyagua",2016,0.810434103012085
"Chiapas","Acacoyagua",2017,0.806591868400574
"Chiapas","Acacoyagua",2018,0.812554657459259
"Chiapas","Acacoyagua",2019,0.806771814823151
"Chiapas","Acacoyagua",2020,0.816098272800446
"Chiapas","Acala",2010,0.573143661022186
"Chiapas","Acala",2011,0.582597732543945
"Chiapas","Acala",2013,0.592449724674225
"Chiapas","Acala",2014,0.616831481456757
"Chiapas","Acala",2015,0.616039872169495
"Chiapas","Acala",2016,0.575657665729523
"Chiapas","Acala",2017,0.601317405700684
"Chiapas","Acala",2018,0.596465229988098
"Chiapas","Acala",2019,0.591815769672394
"Chiapas","Acala",2020,0.610081493854523
"Chiapas","Acapetahua",2010,0.737824857234955
"Chiapas","Acapetahua",2011,0.756399691104889
"Chiapas","Acapetahua",2013,0.743719518184662
"Chiapas","Acapetahua",2014,0.763320207595825
"Chiapas","Acapetahua",2015,0.766752421855927
"Chiapas","Acapetahua",2016,0.767473220825195
"Chiapas","Acapetahua",2017,0.771693646907806
"Chiapas","Acapetahua",2018,0.774294555187225
"Chiapas","Acapetahua",2019,0.774633765220642
"Chiapas","Acapetahua",2020,0.775773882865906
"Chiapas","Aldama",2010,0.7486252784729
"Chiapas","Aldama",2011,0.737840950489044
"Chiapas","Aldama",2013,0.760141611099243
"Chiapas","Aldama",2014,0.750394880771637
"Chiapas","Aldama",2015,0.77550607919693
"Chiapas","Aldama",2016,0.768774330615997
"Chiapas","Aldama",2017,0.767031133174896
"Chiapas","Aldama",2018,0.769769668579102
"Chiapas","Aldama",2019,0.772061169147491
"Chiapas","Aldama",2020,0.77291589975357
"Chiapas","Altamirano",2010,0.776618480682373
"Chiapas","Altamirano",2011,0.773755669593811
"Chiapas","Altamirano",2013,0.779597640037537
"Chiapas","Altamirano",2014,0.774844765663147
"Chiapas","Altamirano",2015,0.785031199455261
"Chiapas","Altamirano",2016,0.789439976215363
"Chiapas","Altamirano",2017,0.792950749397278
"Chiapas","Altamirano",2018,0.788031876087189
"Chiapas","Altamirano",2019,0.782043993473053
"Chiapas","Altamirano",2020,0.800556242465973
"Chiapas","Amatenango de la Frontera",2010,0.711085736751556
"Chiapas","Amatenango de la Frontera",2011,0.679526746273041
"Chiapas","Amatenango de la Frontera",2013,0.692110061645508
