NAME_1,NAME_2,year,ndvi_mean,pob_tot,pob_mas,pob_fem,cve_mun,cve_ent,delitos,n_encuestados,prop_inseguro,n_valido_percepcion,prop_espera_empeorar,n_valido_expectativa,prop_atestiguo_alguno,indice_atestiguo,n_valido_atestiguo,prop_cambio_habito,indice_habito,n_valido_habito
Chiapas,Tuxtla Gutiérrez,2017,0.544816017150879,604147,287524,316623,7101,07,182,983,0.7767584097859327,981,0.5040899795501023,978,0.8463886063072228,2.674465920651068,983,0.8056968463886063,1.908443540183112,983
Chiapas,Tuxtla Gutiérrez,2018,0.543777644634247,604147,287524,316623,7101,07,127,974,0.7915811088295688,974,0.3746065057712487,953,0.811088295687885,2.579055441478438,974,0.7546201232032854,2.002057613168724,972
Chiapas,Tuxtla Gutiérrez,2019,0.537334322929382,604147,287524,316623,7101,07,104,984,0.8258655804480651,982,0.3062692702980473,973,0.8363821138211383,2.6449643947100703,983,0.8434959349593496,2.118006103763987,983
Chiapas,Tuxtla Gutiérrez,2020,0.552259981632233,604147,287524,316623,7101,07,73,746,0.7786774628879892,741,0.4238227146814405,722,0.7828418230563002,2.4611260053619306,746,0.7479892761394102,1.8183041722745612,743
Chiapas,Venustiano Carranza,2013,0.547764003276825,443704,210118,233586,9017,09,145.401175058207,25,0.64,25,0.04,25,0.72,2,25,0.48,1.2,25
Chiapas,Venustiano Carranza,2014,0.575490534305573,443704,210118,233586,9017,09,108.566210710128,45,0.7333333333333333,45,0.2,45,0.8,2.1555555555555554,45,0.8,1.577777777777778,45
Chiapas,Venustiano Carranza,2015,0.579129636287689,443704,210118,233586,9017,09,166,44,0.6590909090909091,44,0.12195121951219512,41,0.9545454545454546,2.75,44,0.75,1.3863636363636362,44
Chiapas,Venustiano Carranza,2016,0.553148567676544,443704,210118,233586,9017,09,170,244,0.8770491803278688,244,0.3662551440329218,243,0.9549180327868853,4.209016393442623,244,0.8565573770491803,2.094262295081967,244
Chiapas,Venustiano Carranza,2017,0.553450584411621,443704,210118,233586,9017,09,192,222,0.9054054054054054,222,0.410958904109589,219,0.9414414414414416,4.144144144144144,222,0.9009009009009008,2.130630630630631,222
Chiapas,Venustiano Carranza,2018,0.576260328292847,443704,210118,233586,9017,09,209,432,0.8352668213457076,431,0.2605633802816901,426,0.9328703703703703,3.990740740740739,432,0.8657407407407407,2.1608391608391613,429
Chiapas,Venustiano Carranza,2019,0.572375237941742,443704,210118,233586,9017,09,174,659,0.7027439024390244,656,0.19359756097560976,656,0.943854324734446,3.6919575113808807,659,0.802731411229135,1.769817073170732,656
Chiapas,Venustiano Carranza,2020,0.583090424537659,443704,210118,233586,9017,09,146,786,0.6713375796178344,785,0.2622107969151671,778,0.9300254452926208,3.568702290076336,786,0.7519083969465649,1.665384615384616,780
Chihuahua,Chihuahua,2013,0.288909435272217,937674,457240,480434,8019,08,326.667973297439,82,0.4814814814814815,81,0.0625,80,0.8536585365853658,2.3536585365853657,82,0.902439024390244,2.073170731707317,82
Chihuahua,Chihuahua,2014,0.312356859445572,937674,457240,480434,8019,08,238.45792709546,155,0.7597402597402597,154,0.17419354838709675,155,0.9096774193548388,2.7806451612903222,155,0.8387096774193549,1.8322580645161293,155
Chihuahua,Chihuahua,2015,0.297582238912582,937674,457240,480434,8019,08,201,163,0.7329192546583851,161,0.11728395061728394,162,0.8343558282208589,2.3067484662576683,163,0.9263803680981596,2.122699386503067,163
Chihuahua,Chihuahua,2016,0.295929253101349,937674,457240,480434,8019,08,314,1041,0.6341698841698842,1036,0.2315270935960591,1015,0.7579250720461095,2.236538461538462,1040,0.712776176753122,1.5891996142719382,1037
Chihuahua,Chihuahua,2017,0.312374889850616,937674,457240,480434,8019,08,421,1043,0.7353224254090471,1039,0.29138431752178123,1033,0.7564717162032598,2.26679462571977,1042,0.6788111217641419,1.576923076923076,1040
Chihuahua,Chihuahua,2018,0.287197411060333,937674,457240,480434,8019,08,334,1043,0.7351247600767754,1042,0.249269717624148,1027,0.7334611697027804,2.157238734419942,1043,0.7027804410354745,1.6846153846153853,1040
Chihuahua,Chihuahua,2019,0.283436000347137,937674,457240,480434,8019,08,385,1062,0.7233238904627006,1059,0.258587786259542,1048,0.7250470809792844,2.114985862393968,1061,0.7382297551789078,1.785646836638339,1059
Chihuahua,Chihuahua,2020,0.250894755125046,937674,457240,480434,8019,08,385,775,0.6283870967741936,775,0.2941935483870968,775,0.7032258064516129,2.07225806451613,775,0.6709677419354839,1.50064850843061,771
Chihuahua,Cuauhtémoc,2013,0.337654113769531,545884,260951,284933,9015,09,132.799739886496,23,0.782608695652174,23,0.13043478260869565,23,0.782608695652174,1.9565217391304344,23,0.5217391304347826,1.2173913043478262,23
Chihuahua,Cuauhtémoc,2014,0.357414990663528,545884,260951,284933,9015,09,135.70776338766,53,0.6226415094339622,53,0.24528301886792453,53,0.8490566037735849,2.377358490566037,53,0.5849056603773585,0.9811320754716982,53
Chihuahua,Cuauhtémoc,2015,0.358995258808136,545884,260951,284933,9015,09,169,65,0.676923076923077,65,0.14285714285714285,63,0.953846153846154,2.5846153846153848,65,0.9230769230769232,1.7846153846153847,65
Chihuahua,Cuauhtémoc,2016,0.353511542081833,545884,260951,284933,9015,09,163,307,0.7296416938110749,307,0.5049180327868853,305,0.9413680781758956,3.654723127035831,307,0.8045602605863192,1.856677524429967,307
Chihuahua,Cuauhtémoc,2017,0.350963205099106,545884,260951,284933,9015,09,184,315,0.8380952380952381,315,0.4507936507936508,315,0.9650793650793652,3.59047619047619,315,0.780952380952381,1.7619047619047616,315
Chihuahua,Cuauhtémoc,2018,0.343633979558945,545884,260951,284933,9015,09,175,494,0.8073022312373225,493,0.25416666666666665,480,0.8461538461538461,3.3468559837728167,493,0.8502024291497976,2.2657200811359024,493
Chihuahua,Cuauhtémoc,2019,0.350615680217743,545884,260951,284933,9015,09,170,677,0.8106508875739645,676,0.2414814814814815,675,0.9098966026587888,3.748520710059173,676,0.8641063515509602,2.053412462908012,674
Chihuahua,Cuauhtémoc,2020,0.316158831119537,545884,260951,284933,9015,09,147,747,0.6604026845637584,745,0.32472826086956524,736,0.8647925033467202,3.1204819277108435,747,0.7871485943775101,1.8042895442359248,746
Chihuahua,Guadalupe,2013,0.175551161170006,643143,318993,324150,19026,19,96.9341167054715,93,0.4301075268817205,93,0.1720430107526882,93,0.6129032258064516,1.580645161290322,93,0.6666666666666666,1.3440860215053765,93
Chihuahua,Guadalupe,2014,0.185250416398048,643143,318993,324150,19026,19,67.85388169383,161,0.6086956521739131,161,0.09316770186335405,161,0.7577639751552795,2.2111801242236027,161,0.7701863354037267,1.8633540372670807,161
Chihuahua,Guadalupe,2014,0.185250416398048,211740,102455,109285,32017,32,6.785388169383,52,0.7115384615384616,52,0.28846153846153844,52,0.8269230769230769,2.076923076923077,52,0.7115384615384616,1.7115384615384617,52
Chihuahua,Guadalupe,2015,0.19043080508709,643143,318993,324150,19026,19,65,159,0.4840764331210191,157,0.13924050632911392,158,0.7547169811320755,2.056603773584906,159,0.6289308176100629,1.4025157232704402,159
Chihuahua,Guadalupe,2015,0.19043080508709,211740,102455,109285,32017,32,38,64,0.703125,64,0.3333333333333333,63,0.796875,2.484375,64,0.703125,1.9206349206349205,63
Chihuahua,Guadalupe,2016,0.185728758573532,643143,318993,324150,19026,19,103,144,0.6805555555555556,144,0.19858156028368795,141,0.75,2.2569444444444446,144,0.7152777777777778,1.6180555555555556,144
Chihuahua,Guadalupe,2016,0.185728758573532,211740,102455,109285,32017,32,88,636,0.8377952755905512,635,0.35873015873015873,630,0.8066037735849056,2.6069182389937104,636,0.7735849056603774,1.9874213836477983,636
Chihuahua,Guadalupe,2017,0.184828713536263,643143,318993,324150,19026,19,91,155,0.7612903225806451,155,0.23225806451612904,155,0.8129032258064516,2.490322580645161,155,0.7677419354838709,1.7857142857142854,154
